trial,contrast_left,contrast_right,response,feedback,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,0.0,0.0,0.0,1.0,-0.29334696135461036,0.06925389868266216,0.06676419767516259,-0.13700949794265668,0.019672122375885295,-0.09493084467687511,-0.1015795150963477,-0.04383707339372404,0.020974088088361764,-0.01286284861067156
1,0.0,0.0,1.0,-1.0,-0.29516522936217915,0.11432747629422589,0.03151107658495799,-0.1519228018554424,0.04369062767214574,-0.08197498381634237,-0.13659646789549842,-0.07431133720728253,0.054934576583862506,-0.011742736086770705
2,0.0,0.0,0.0,1.0,-0.30022366528019445,0.09595420016758434,0.053124831391811754,-0.13470639999804848,0.02366925246318636,-0.07469387527837129,-0.10211560428207431,-0.10259075637305431,0.09432139567859196,-0.023675053913102012
3,1.0,0.5,1.0,1.0,-0.33916276442567594,0.09085573987758913,0.06455360607561897,-0.12392058662814659,0.007436421641838825,-0.13100006155523033,-0.10722683512588717,-0.06119901833001095,0.038048985051534284,-0.03251957219040061
4,0.25,0.5,-1.0,1.0,-0.2938799185374441,0.09191145469979473,0.06483915542611327,-0.10944163803700391,0.02697198878150439,-0.022074848877109806,-0.10427093653351653,-0.07516964292582358,0.06609816835996489,-0.005050098708091426
5,0.5,0.5,-1.0,1.0,-0.3451128193887879,0.0890503816417507,0.09123844949373697,-0.12300888284959938,-0.010395184448682388,-0.04503645377406305,-0.12489066934869697,-0.010722078191504171,0.0313658400678163,-0.0004564464827012572
6,0.0,0.5,-1.0,1.0,-0.38240856245744304,0.06595494479494717,0.07307411057593481,-0.11016522715226987,-0.03760679034019149,-0.07567192400161503,-0.09292845916247311,-0.04144807242407375,-0.011807086890317816,0.020700205672005163
7,0.0,1.0,-1.0,1.0,-0.3426910731084479,0.09398231455881755,0.09813838291328467,-0.11239795789233006,0.014007884428893278,-0.046547578112330665,-0.10562862083280634,-0.0528912359664458,0.04992526528498104,0.011655030617719267
8,1.0,0.25,1.0,1.0,-0.32940962696116033,0.08797181966771035,0.07970235690999179,-0.09377118324593416,0.01102049936750819,-0.04629231919919601,-0.043358394336567185,-0.03899831744597488,0.03078618800888189,-0.03674376917966668
9,0.25,1.0,-1.0,1.0,-0.3579800687456667,0.09170627753781657,0.05029939093786689,-0.10917925130266819,0.01325458976203456,-0.011457657740488734,-0.09914367576157725,-0.06871388688618467,0.04983618423751559,-0.01268015662281639
10,0.0,0.5,-1.0,1.0,-0.3306628989648043,0.08048983280325482,0.09418901421810537,-0.11860047172259461,-0.005612704871374406,-0.03935481245315966,-0.10674370545265488,-0.03333415027812177,0.019095562198565418,-0.0341425479279345
11,0.25,1.0,-1.0,1.0,-0.350715096621047,0.0900667459708925,0.08886124645871189,-0.08180104117267374,0.019259156051582415,-0.055437819353838604,-0.035646917007941516,-0.05750433233878536,0.022001806944474518,-0.031675246079197666
12,0.5,0.0,1.0,1.0,-0.3591870398399061,0.11877120822780854,0.07403057697047727,-0.08042643547073204,0.024142446207473644,-0.04256668833052741,-0.07287704207878523,-0.04374699236449042,-0.00733920127364874,-0.010713431010884494
13,0.0,0.0,0.0,1.0,-0.38894770043175464,0.09950901111895966,0.05260640922180305,-0.08848820885070555,-0.01163078403242162,0.0009942771543909694,-0.08685164902844386,-0.04973898514093626,0.04505199353600611,0.007464078271387196
14,0.0,0.0,-1.0,-1.0,-0.3795966488234825,0.1281816466356577,0.16105788366555832,-0.10253851918276287,0.02867462495525976,-0.054093156568973226,-0.05510593788566328,-0.05274252686544568,0.013513720772635953,-0.011312790106032209
15,0.0,0.0,0.0,1.0,-0.38398433177814995,0.1373644655026096,0.10577771262118067,-0.10044683820427573,0.0346787442896535,-0.04571012770529074,-0.07917176205919312,-0.01036147035781826,0.003972363318839248,-0.029509085150260263
16,0.25,0.0,1.0,1.0,-0.40370952970002066,0.15263370954830247,0.13355275593645757,-0.13290247531519145,-0.00914766728108186,0.016583939986404273,-0.054157767890360545,-0.07864107628225367,0.04087952521479386,-0.02883772662988943
17,1.0,0.5,1.0,1.0,-0.39929367920013015,0.08786298818397992,0.12049738347524364,-0.1279374337816953,-0.036278980563229514,-0.003469208104743245,-0.08064957979738305,-0.026536658627153986,0.0034275157103084795,-0.01971526537149092
18,1.0,0.0,1.0,1.0,-0.42360266683796394,0.1451936024616009,0.08475189895294673,-0.07962850565017868,0.02758508180795166,-0.036472128010226215,-0.12291311066211658,-0.07075929809897896,0.025841229006668538,0.01362016072197202
19,1.0,0.0,1.0,1.0,-0.416859782864372,0.13067423257756688,0.15395469552419436,-0.10972551997144453,-0.015036645101984547,0.007388388675831103,-0.05632495472187142,-0.023464551684053432,0.004537400841097826,0.006797602830857471
20,0.5,1.0,1.0,-1.0,-0.4393352486719689,0.1480917185031614,0.11525179629980448,-0.08494805412549469,-0.004633976449224135,-0.011980938997486227,-0.04962621465589356,-0.003899903535185041,-0.01782414493495806,0.03377291329230578
21,0.25,0.0,-1.0,-1.0,-0.4269370416819592,0.14697355325684616,0.1013607724927504,-0.08468594392653134,0.018977006688548657,0.01875193569716919,-0.08052532657722389,-0.02259984326878041,0.03170425320163793,0.02046791866161885
22,0.25,0.25,1.0,1.0,-0.43473191960455565,0.13211549008585094,0.1010927053308249,-0.07050453062778761,-0.01042658647954031,-0.012956264605808333,-0.06974370947059254,-0.02662678796754269,-0.000446298615711229,0.036184180136551676
23,0.25,1.0,-1.0,1.0,-0.44671115648054993,0.2013791331662576,0.10630372760571492,-0.08392831601405498,-0.007463753015938261,0.01528125375032892,-0.03581474730337569,-0.003426759776476318,0.02042704310756976,0.06348341824404628
24,0.0,0.25,-1.0,1.0,-0.43207283827243037,0.15610230805590983,0.12908739277275302,-0.09935987822807656,-0.020313697708552916,0.005576453041048966,-0.017620439682509613,-0.005592501669437764,-0.014659715912963004,0.009950556227656672
25,0.0,0.0,0.0,1.0,-0.4414619585966122,0.1708797003338414,0.11290108913601146,-0.09466884879334606,-0.01758159980159803,0.014615484426667456,-0.01755222750104187,-0.005438367558655501,0.007488960737756522,-0.01457744928585489
26,0.5,0.25,1.0,1.0,-0.4603073615621552,0.2284780151413608,0.08365152181140395,-0.11611109544588008,0.0017112007637919752,0.018009962829818964,-0.001985875085487719,0.0038273759672072527,-0.037423891616421096,0.0035811834004715833
27,1.0,0.25,1.0,1.0,-0.43827922212535936,0.1606635390268002,0.07713173972396352,-0.07249668887552019,-0.04171153069112671,0.02720807345810041,0.011985295446505428,-0.016974148356113897,-0.025251052412060517,0.01924845622403687
28,0.0,0.0,-1.0,-1.0,-0.46890938435969537,0.1945753782482017,0.12563112587617398,-0.0816239230063577,0.020003695501925097,0.0037993961519591037,-0.013046388206011086,-0.03596917625826108,0.004212251268638887,0.035834211428965326
29,0.0,0.0,0.0,1.0,-0.4722443185095446,0.16620511482057054,0.14679467373425076,-0.07438844388855298,-0.017763750737773823,0.026921315057568538,0.012881739500343466,-0.02289532882542931,0.0012143161847734663,0.005702457445636706
30,1.0,0.5,1.0,1.0,-0.46708235662790576,0.2182885806950605,0.14210973750345704,-0.09280023712996288,0.0036223210955526573,0.039989001982673925,-0.01034029229844908,-0.018776369657866363,0.009933201982382596,-0.013602745943752515
31,0.0,0.0,-1.0,-1.0,-0.45463952133297497,0.19791412931111804,0.1299819540199449,-0.07532075345545147,-0.0026818808929242343,0.047958580443261054,0.03050749923872706,0.0011496979585756105,0.030021693841384974,0.009906023135642088
32,0.0,0.0,0.0,1.0,-0.45290842639979767,0.19213640879293148,0.19093661898717343,-0.04181992689332239,0.03555152412573822,0.03515133627265554,0.012823145843219507,0.03496858595868309,-0.012596065538575296,0.006868809423465347
33,0.0,0.0,0.0,1.0,-0.45412082780596585,0.19924174730529456,0.15799168294459168,-0.0741623971718277,0.05779904266741403,0.02931442420944168,-0.04774878216497705,0.014287933602558473,-0.003980552878034339,0.015839876611264812
34,0.5,0.0,-1.0,-1.0,-0.4795475664034239,0.18023769840241788,0.1683872206164689,-0.010450354025475792,0.04354774173431672,0.04529601163229402,0.021872610763064144,0.01903973122748858,-0.020589156393030963,0.03501265051500296
35,0.5,0.25,-1.0,-1.0,-0.47038095508004507,0.19141814487972458,0.1739396084634598,-0.04686237872475108,0.02087594043467246,0.02453249461589369,0.021052336463127784,0.010671581206736221,-0.02423200539017794,0.013096462589184428
36,0.0,1.0,-1.0,1.0,-0.4873142547458723,0.18148473074602225,0.21136318523996558,-0.019366786216482513,0.03092541275371331,0.07938958455944621,0.004432705551457043,0.047602318342906944,-0.036007891167523,0.03951252638480193
37,0.5,0.0,1.0,1.0,-0.5068036164079518,0.16828370995191289,0.13857760907921585,-0.01854629679150112,-0.019574178767111095,0.048687612675661934,0.013548743635244553,0.029944542859937792,-0.008648599011203757,0.06626744978237194
