PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,category,session
22.902924,9.937236,4.1176033,-4.414197,6.4640546,-0.3582611,7.4269795,-2.9600182,-1.8021008,7.3788757,-2.115824,1.0219913,-2.6687331,0.4116116,-4.254428,-2.3469992,1.9315684,0.20298238,-1.5429946,-1.5503429,-5.5343375,1.6113279,0.32199207,-2.3732467,3.330601,2.1322498,1.1382049,-0.29307964,-0.53385925,-0.03552849,1.006829,-0.27954936,-0.37291947,-0.20549405,-0.2711982,1.6268547,-1.4075035,1.7060205,0.050289474,-0.9533583,0.84602606,0.20313767,-0.5623152,-0.72594756,1.4899822,0.16381644,0.4585157,-1.3015333,1.1122868,-1.5373566,scissors,0
23.118841,10.623929,6.1168046,-1.8973328,9.137955,1.9913983,7.9552407,0.81630474,0.88109225,8.341912,-1.2607393,3.6835082,-0.37378177,0.58131707,-4.022249,-2.0017202,0.70104706,0.98574483,2.0458632,-1.9271067,-4.388335,2.3954697,0.54247504,-0.8888297,1.8909161,2.1254125,1.130962,-0.48307464,-1.2686453,0.07059452,0.060674913,-0.54564476,-0.43736836,0.22372536,0.8236014,1.6593069,-0.65562904,-0.16247134,-0.40190846,-0.04404586,1.1008197,0.43509582,-0.9146487,-0.6608848,1.9108876,-0.2799394,0.13669117,-0.1877262,0.23761733,-1.2159654,scissors,0
23.164461,10.47202,5.781077,-2.9493582,6.46779,0.11887311,7.262615,1.8804182,1.6072941,7.707685,-1.0801666,4.284413,0.2566345,0.92712367,-3.6234674,-2.1930168,0.039414354,1.2573951,3.2523398,-1.3390166,-2.9192395,2.8190243,-0.3062271,0.5794901,1.1834483,0.931862,1.676417,-0.88542145,-1.9562832,-0.28478476,0.15430146,-2.0637314,-0.79980886,0.25325036,0.5140417,0.8575564,-0.82287705,-0.193746,-0.29754183,0.23749702,2.398745,1.2989218,-0.82135165,-0.00083040673,0.86869574,-1.3626007,-0.07201086,0.3420612,-0.7461075,-0.6178679,scissors,0
24.276384,9.842486,5.717005,-5.073019,6.7683816,-1.5554287,9.634997,2.3514144,0.9691174,6.7998343,-2.4186695,4.350981,-2.0469131,1.5559647,-2.2853863,-3.1972895,0.20189355,1.2810785,3.172517,-1.338952,-1.4904255,0.77206355,-1.2504377,-0.11098353,0.8310675,1.5077249,-0.28694633,1.634671,-2.037021,-2.1917353,0.107912704,0.45309475,0.6589375,-0.39183432,-0.6181451,0.48179317,-1.165768,0.6464857,-0.4890555,-0.98181856,1.6276318,1.5091038,0.3707015,0.2130201,1.3346323,-0.37224194,-0.045337066,-0.60302746,-0.15047666,0.4505042,scissors,0
24.19492,11.153329,5.1480417,-4.50428,6.590526,-1.0104271,8.731315,2.0350342,1.246951,6.895126,-3.3380654,3.0692873,-2.1965728,1.8483216,-2.1906013,-3.5829794,-0.12968156,1.1511236,2.7512114,-0.63048124,-0.81231695,2.0871258,-1.3293713,0.12521239,0.9090339,1.6402701,0.41385671,0.1658172,-1.9952686,-1.7604568,0.5082984,-0.12464818,0.26465172,0.09724961,-0.2082876,0.66690165,0.18807364,1.5574809,-1.4514728,-0.46194315,-0.44674087,-0.14983915,-1.0201892,0.60899085,0.8973211,-0.9887959,0.8434378,-0.12652665,-0.38604632,0.2315784,scissors,0
22.991505,11.905862,5.482684,-4.619115,6.4188104,-0.95466954,8.262934,1.1768309,1.3192561,5.4025593,-3.6078498,2.4064279,-2.5015886,3.112152,-1.614702,-2.1031067,0.542012,0.19462065,2.1582546,-1.6435795,-0.92800146,2.262207,-2.3951283,1.0593139,0.65142196,1.7543706,0.80786866,0.3337271,-0.8002325,-0.2795639,0.37101898,0.07102495,-0.36590472,-0.71747935,0.53968465,0.32750282,-0.14586061,0.25432986,-1.1597679,-0.022509532,0.23216778,-0.16119765,-0.5446793,0.2445225,0.4786174,-1.1597167,0.3028206,-0.14228073,-0.06253857,0.36728367,scissors,0
25.164148,11.374648,6.672632,-3.9036689,5.7735157,-0.69374573,9.142538,-0.3459265,0.609473,5.6294293,-2.5531328,2.6505399,-3.08353,2.3204591,-1.7662886,-0.38646528,-0.18104787,0.5606988,1.8211,-2.0292647,-1.1000901,3.0783074,-1.1874653,0.94582963,-0.20463675,1.4155893,1.425004,-0.19238928,-0.27712035,-0.38571185,0.10474233,0.2911811,0.19434732,-0.60246915,0.9428855,1.7864883,1.422348,0.18181062,-0.77405906,0.260668,0.53289056,0.7388903,-0.29355642,0.41725373,0.08789336,0.00064160215,1.2806658,0.1389944,-0.7419356,-1.094747,scissors,0
24.13832,11.782995,6.4431076,-4.988021,3.1465683,-2.4771588,7.4430857,-1.5379963,0.23730172,6.746263,-1.6038418,1.7313734,-2.4983006,1.9698039,-0.541985,-0.1209627,-0.63274443,1.1551402,0.7422033,-2.890645,0.2640389,3.1018376,-1.4838297,0.80958414,0.45859265,-0.18107146,1.8024778,1.3065454,-1.2949549,-0.9535007,-0.30055258,0.20542209,0.11351647,-0.55446947,0.49368775,1.7913793,-0.8573416,-0.11687183,0.24674672,0.5556254,0.41617274,-0.111024104,0.6155789,-0.5158448,-0.16451637,0.32667983,-0.23729065,0.13066727,-0.39240247,-0.72379214,scissors,0
24.846992,10.166161,6.6735578,-4.800868,3.54426,-3.082287,7.0936236,-2.4625697,-0.084933296,6.840005,-0.2592348,0.9376019,-2.5074253,1.3105557,-1.8534688,-0.7455489,0.45689982,1.1579952,0.36437246,-2.5621445,-0.7798984,2.304198,-1.7823979,-0.8435841,1.247022,1.609872,0.7621732,-0.49526995,-0.5217171,-0.47935003,-0.7311733,-0.32911554,-0.33363548,-0.841588,0.48395652,1.2320567,0.06342398,1.2301228,0.1521438,-0.10986264,-0.9651564,-0.050391283,0.28442162,-0.6656432,-0.1268135,0.0272255,0.20401098,-0.08640527,-0.29659525,-0.791763,scissors,0
24.010862,9.401766,4.85987,-5.352277,0.30169103,-4.6025615,8.911192,-0.47736615,1.1777788,2.9730241,-5.557391,2.1222696,0.6885153,2.5395465,-2.5835302,-1.9456033,0.014912394,-0.5712457,1.1312671,-1.9089568,-0.85958004,-0.50542545,-1.123197,-1.1680005,-1.0201935,1.0980291,-0.6400689,-1.7507199,-0.3679125,-0.5016655,-1.8199859,0.1293084,1.0051222,-1.4644158,0.72560275,-0.8406087,-0.28697407,-0.6654055,-0.7253906,-0.32496977,-0.19296794,-2.2890677,0.06685004,-1.5754483,0.70429486,-0.15150425,-0.5600746,-0.93548626,0.07086929,-0.80527467,face,0
