PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,run_speed,pupil_area,face_motion,neuron_0,neuron_207,neuron_414,neuron_622,neuron_829,neuron_1037,neuron_1244,neuron_1451,neuron_1659,neuron_1866,neuron_2074,neuron_2281,neuron_2488,neuron_2696,neuron_2903,neuron_3111,neuron_3318,neuron_3525,neuron_3733,neuron_3940,neuron_4148,neuron_4355,neuron_4562,neuron_4770,neuron_4977,neuron_5185,neuron_5392,neuron_5600,neuron_5807,neuron_6014,neuron_6222,neuron_6429,neuron_6637,neuron_6844,neuron_7051,neuron_7259,neuron_7466,neuron_7674,neuron_7881,neuron_8088,neuron_8296,neuron_8503,neuron_8711,neuron_8918,neuron_9125,neuron_9333,neuron_9540,neuron_9748,neuron_9955,neuron_10163
-0.2297235,-1.7972829,-1.5126729,-1.5071069,5.0727863,3.5008645,3.242978,-4.4151697,-0.61449254,1.483013,-2.8010094,1.6562407,-3.229287,2.4217727,0.048802428,-3.3660064,-3.657304,1.64311,-0.33394077,-1.5337311,0.0,429.26063107108865,-374.97149658203125,2.8172183,0.0,165.08018,106.960915,0.0,1.3584651,171.3503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.73361,53.508705,0.0,78.68996,0.0,86.02246,0.0,66.30041,0.0,0.0,0.0,0.0,0.0,0.0,100.06973,0.0,0.0,0.0,8.1215105,61.729088,86.35435,0.0,0.0,0.0,16.549187,167.7469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.907861,-4.096913,-2.8467734,-1.4489317,-1.6943965,-0.49882895,-6.3669066,4.870136,4.1502542,5.1951427,-3.7978168,-0.6895004,4.914573,-0.14117813,-2.1269705,2.715234,0.21323983,-1.9982799,1.5961431,1.577853,0.0,322.27024253280524,-374.3629150390625,65.52583,0.0,0.0,14.406504,0.0,56.553185,0.0,0.0,0.0,0.0,196.95044,0.0,0.0,161.35605,0.0,288.14127,0.0,7.4170423,0.0,0.0,0.0,105.14343,67.52087,0.0,0.0,16.463186,0.0,24.229713,0.0,262.41714,0.0,0.0,31.577784,38.315563,0.0,73.684,0.0,0.0,5.144358,0.0,0.0,0.0,0.0,87.454,22.064352,0.0,0.0,0.0,0.0,0.0
-11.306457,-3.3980238,-2.8327727,0.4128075,-1.4885327,-0.49411803,-0.07636936,-0.07265697,-1.8303242,-1.8619505,-1.4790312,2.6004887,2.6915567,2.7135627,-0.25493166,-1.3088427,-0.58648765,-1.6694415,0.07212763,2.9903326,0.0,260.95133262454834,-373.63323974609375,0.0,61.176632,0.0,49.082375,0.0,0.0,0.0,261.2578,0.0,0.0,0.0,16.676088,87.251274,0.0,93.15658,0.0,0.0,0.0,0.0,63.26222,0.0,0.0,0.0,0.0,2.499041,0.0,61.576393,0.0,193.11662,43.495903,0.0,0.0,0.0,0.0,0.0,24.378248,0.0,36.75676,0.0,126.03557,26.560188,0.0,19.176258,124.82034,0.0,0.0,0.0,0.0,0.0,0.0
-16.20876,-0.87475103,-3.009906,-2.85014,-0.78289527,1.0778513,1.3946922,0.3038506,1.7622817,0.96051705,-0.19605081,1.2678503,-0.9702854,-0.022035338,1.811382,-2.1628053,-0.17106543,0.58336055,0.14748597,-1.1924993,0.0,276.818129380938,-368.07867431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.81644,0.0,19.054056,0.0,110.6331,138.0347,0.0,0.0,0.0,0.0,0.0,139.95244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.494053,240.11977,0.0,96.650826,0.0,0.0,5.9738913,0.0,0.0,7.4051933,0.0,0.0,0.0,0.0,6.9899945,11.3686285,0.0,21.138737,0.0,0.0,0.0,0.0,0.0,0.0
-5.7696624,-1.3613446,7.1077795,4.03556,-6.8256164,2.8368325,2.4659383,1.6137289,3.0433052,-3.3776522,0.41783684,1.329501,2.5433314,-1.8770835,1.7178489,1.1052283,-2.7929962,-2.2044652,-1.5961062,-0.07752808,0.0012279919119560986,472.9620250988941,-358.4692077636719,108.206154,0.0,0.0,0.0,0.0,0.0,5.445292,8.46259,413.16833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.29189,38.07723,0.0,0.0,0.0,0.0,0.0,22.841162,0.0,0.0,0.0,0.0,20.647604,0.0,55.53395,0.0,154.49806,0.0,13.345815,0.0,0.0,12.43594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.007026,7.064871,5.122946,-0.83326524,-5.367594,6.0137053,4.213115,0.802123,1.7613158,0.7856287,-1.0602107,-2.4035428,-1.4189258,-2.689721,-0.5285284,-1.459312,-2.3431125,-5.1860237,-1.5919752,0.72230303,0.16380518274585187,871.4099697914864,814.187744140625,0.0,0.0,0.0,0.0,32.615036,4.926494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.760353,43.65597,0.0,0.0,0.0,0.0,8.031893,38.29939,0.0,19.719925,0.0,0.0,49.430187,121.45976,41.386425,0.0,56.94633,53.97371,0.0,0.0,0.0,42.610218,0.0,116.64954,0.0,0.0,0.0,0.0,75.071655,30.320099,0.0,0.0,0.0,0.0,0.0
-6.161362,-0.02801056,1.3440193,4.270131,1.4162257,-0.75556934,1.939305,-0.27797827,-1.0143834,1.8708266,-2.3373535,0.8713354,1.3972545,-0.8116239,-2.772191,-0.21961625,-1.2840893,0.19735964,0.3636264,-0.23426113,0.012723352752272057,1471.2238493713787,-246.57452392578125,0.0,291.40375,0.0,0.0,14.784458,0.0,0.0,205.28996,9.074152,23.192724,0.95969695,0.0,0.0,0.0,8.832897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.69745,0.0,0.0,104.84399,0.68724805,0.0,89.0529,174.0972,0.0,0.0,1.1593676,23.956375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.073395,0.0,0.0,0.0,0.0,0.0,0.0
-5.3729644,2.1665914,0.72578603,1.6434995,2.9731991,3.2648127,-1.2193359,-2.225903,-4.297182,0.119946375,-0.62269574,1.3032207,2.2588685,-0.8187576,1.915867,-1.1465158,-0.73406535,1.4773266,-2.4464946,2.921839,0.5329321032977276,2007.79152108233,574.5900268554688,0.0,46.574707,0.0,0.0,0.0,18.543451,0.0,0.0,0.0,128.63965,200.04018,22.488398,54.635845,0.0,77.75818,0.0,0.0,0.0,0.0,0.0,89.88629,0.0,0.0,0.0,81.58281,41.20207,56.360546,0.0,135.4173,0.0,56.34181,45.85287,0.0,0.0,0.0,171.7298,129.44572,0.0,26.783762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.494222,-0.31358075,-1.3261709,-2.6507897,-0.27293473,1.0575603,2.1439874,0.9743777,0.00025288263,1.7121778,-1.7812693,1.0078127,-0.9245184,-0.26282433,0.67959005,-0.45806926,-2.387819,0.48353064,1.4828414,-0.35478127,0.44450466565068514,2299.6667951849104,269.46697998046875,0.0,0.0,0.0,78.99155,0.0,0.0,0.0,0.0,0.0,0.0,44.198616,0.0,0.0,0.0,0.0,0.0,17.44939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8527455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.17294,0.0,0.0,5.1770816,29.838957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.6934724,-2.371455,-0.9748694,-0.02807824,4.522972,2.324234,1.6740884,-2.3413572,0.94248927,3.4865093,-0.9235627,0.80003315,4.039892,3.1229413,0.13676096,-0.49812654,0.49786058,-0.41569975,-0.03389423,-0.86144096,0.001119117812495748,2400.315368168236,-338.33782958984375,224.59142,42.63418,117.09516,87.35782,0.0,25.028137,160.99246,0.0,0.0,0.0,75.68607,6.0719743,0.0,2874.1567,0.0,423.5382,0.0,0.0,122.744125,121.93664,0.0,0.0,0.0,0.0,41.03414,0.0,0.0,0.0,110.827156,0.0,0.0,77.950096,0.0,0.0,0.0,1.2544544,25.21718,0.0,0.0,0.0,0.0,0.0,25.56754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
