subject,run,epoch,event,Fc5._alpha,Fc5._beta,Fc5._std,Fc3._alpha,Fc3._beta,Fc3._std,Fc1._alpha,Fc1._beta,Fc1._std,Fcz._alpha,Fcz._beta,Fcz._std,Fc2._alpha,Fc2._beta,Fc2._std,Fc4._alpha,Fc4._beta,Fc4._std,Fc6._alpha,Fc6._beta,Fc6._std,C5.._alpha,C5.._beta,C5.._std,C3.._alpha,C3.._beta,C3.._std,C1.._alpha,C1.._beta,C1.._std
S001,1,0,1,1.1877724594756506e-11,6.577452629001915e-12,3.509716771987018e-05,2.0714788541749787e-11,8.57725846177746e-12,4.190803180795069e-05,1.8914891691500233e-11,8.211219227886547e-12,4.3751107998452834e-05,1.8540076523405848e-11,8.86628695554439e-12,5.163761591038282e-05,2.4512884045170875e-11,8.907697762104509e-12,4.800116295340377e-05,2.8241968897827982e-11,1.0320997990046506e-11,4.279083137603195e-05,1.7304055994058087e-11,8.937764356568708e-12,3.624358376535101e-05,2.009862891062134e-11,8.495281784500416e-12,3.7779696154459435e-05,3.150308776131734e-11,1.0854803035257897e-11,4.281968056197191e-05,2.2014090456755698e-11,7.6450000298889e-12,4.384572508504809e-05
S001,2,0,1,3.370732522202946e-11,1.0460507393422165e-11,4.3634491709675895e-05,5.648566840800277e-11,1.0022536658878408e-11,4.821668619021723e-05,6.310538625937003e-11,1.1964557192154381e-11,4.825248115966151e-05,6.772852209665579e-11,1.26598819075838e-11,4.906811939370818e-05,6.566845760648963e-11,9.740568168021883e-12,4.5316263169532774e-05,5.903499681211903e-11,9.266460662956433e-12,3.984740304888875e-05,4.347297557909802e-11,8.944900630511627e-12,3.140004475983951e-05,3.970576362039763e-11,1.0680886623410183e-11,4.346533306245363e-05,6.1646202140443e-11,1.1085955032070689e-11,4.650770417142419e-05,7.896504907291149e-11,1.4318340912884368e-11,5.0417634700584125e-05
S001,3,0,1,2.2791925629849597e-11,1.243458016774298e-11,4.073288718143723e-05,2.404304832963978e-11,1.4584675674298042e-11,3.588634742871905e-05,2.2984165096281514e-11,1.715273998869446e-11,3.999848115826428e-05,2.6828945892798218e-11,1.8375254331249193e-11,3.857400702938954e-05,2.326237974977388e-11,1.969351524838097e-11,3.866258287396829e-05,2.171603590544235e-11,1.6097806707123817e-11,3.4749091281945106e-05,1.0664218758711641e-11,9.35885181094895e-12,3.077791975941765e-05,2.4035878343483325e-11,1.2091403048278556e-11,3.391897593393909e-05,2.0169581285642245e-11,1.0695125140851976e-11,3.580970447570977e-05,1.6448033439445226e-11,1.2991445181529132e-11,3.811714320369772e-05
S001,3,1,3,1.2257875513163306e-11,8.643970739174356e-12,3.3204859413021206e-05,1.4033747161286072e-11,9.50523691589333e-12,3.512844388529489e-05,1.4889824878732355e-11,9.089557868816216e-12,3.683418248910812e-05,1.9368864013446555e-11,7.809444881463173e-12,3.7996857278361736e-05,1.953053922086002e-11,7.680532424867692e-12,3.774850078399321e-05,1.88890181066265e-11,5.5764981342156205e-12,3.825834007381852e-05,1.1630994529524777e-11,4.774276535513348e-12,3.295708669727623e-05,1.787521551412835e-11,1.2016673091384784e-11,3.6614349005284964e-05,1.5724670923553558e-11,1.14922282940458e-11,3.9918967134353464e-05,1.4589795206768046e-11,9.898339206200155e-12,4.228468659630968e-05
S001,3,2,1,3.5068854024192486e-11,1.0279210984744188e-11,5.809300789266648e-05,3.299296759281986e-11,1.025313020201059e-11,5.7659894426182375e-05,2.6715106217119076e-11,1.0164891310576278e-11,5.8585876847448595e-05,2.019152155360797e-11,1.1671265103760019e-11,5.787069133505062e-05,1.4626723249001725e-11,8.784511052266888e-12,5.567529430003947e-05,1.2739857983709264e-11,7.30771497929975e-12,4.308634165735393e-05,1.0769700609114426e-11,5.20519028925417e-12,3.410379305602847e-05,4.05586927138144e-11,1.0789749366391923e-11,5.7274167617677206e-05,3.10394360359224e-11,8.824254175691676e-12,5.2617267307758876e-05,2.8637164923599824e-11,8.461979234538821e-12,5.2445454461334616e-05
S001,3,3,2,2.7236289735081432e-11,8.813348320648671e-12,3.8638655781942975e-05,2.738203043986001e-11,1.715025992578438e-11,3.8590428152342696e-05,2.9914086374570765e-11,1.9004663577878718e-11,3.952726960786596e-05,2.5400221155689902e-11,1.180927115854142e-11,3.9709731099017645e-05,2.101693995424078e-11,8.408559813029722e-12,4.0104207676200964e-05,1.7042547521878265e-11,5.562659083153319e-12,3.6021865182241435e-05,1.7943622207718844e-11,4.754273789576701e-12,3.068562075887529e-05,2.346875798839166e-11,8.833272032095907e-12,3.970000199353279e-05,2.0916171762260496e-11,7.65169401470671e-12,3.877212811412938e-05,1.922567957006635e-11,8.24751215364556e-12,4.103559658528173e-05
S001,3,4,1,2.7543508675975427e-11,1.3050755363186848e-11,4.827126356650913e-05,3.218913727862483e-11,1.079185890972996e-11,4.740193876910809e-05,3.470810003567398e-11,9.751746325506966e-12,4.795498790426746e-05,2.628479017711036e-11,1.0894264074488852e-11,5.224506318371887e-05,3.317837335648029e-11,9.236851836964886e-12,4.6876549103713945e-05,2.6146553813161768e-11,7.635117942105881e-12,4.210254153892883e-05,1.6981445059111648e-11,5.179232122415208e-12,4.0562774688428304e-05,2.792988782816493e-11,1.1601169876930253e-11,4.558584552485043e-05,2.996531107072737e-11,8.924707242594064e-12,4.632016652060146e-05,3.015985507861384e-11,8.712174627338392e-12,4.8517334785934465e-05
S001,3,5,2,1.1915064415601465e-11,7.343455963368848e-12,3.8554114382686954e-05,2.1216359911505964e-11,6.662118608389269e-12,3.8371102850354775e-05,2.3577313851543102e-11,6.768189047234688e-12,3.8020110840586335e-05,1.4052647198508289e-11,6.782739353245387e-12,3.492860203095122e-05,1.2278987820500798e-11,6.011003823854198e-12,3.7249659538085226e-05,1.0108142699933423e-11,4.918481804060005e-12,3.353230133425711e-05,7.515670035252735e-12,3.7144662163818426e-12,2.7761046309535814e-05,1.8474897020409778e-11,8.787863603481163e-12,3.705658585482323e-05,2.137720122493631e-11,6.338426712174489e-12,4.344755936177774e-05,2.667908502592951e-11,6.781633365313386e-12,4.492308578682757e-05
S001,3,6,1,1.6937885014768223e-11,8.781301887811091e-12,5.136389100158592e-05,1.95351810048561e-11,1.2525878636803563e-11,5.6036127913385616e-05,1.9981424541022963e-11,1.204978970445687e-11,5.740084831137448e-05,2.2472829256232267e-11,1.0798313341756707e-11,6.0312892771784954e-05,1.867570329297105e-11,8.57122016762788e-12,6.46272676804187e-05,1.4417618463218894e-11,6.6814406690939816e-12,5.359545197237119e-05,9.12805252656512e-12,4.872315628755865e-12,5.3649207077608276e-05,1.5903576471723643e-11,8.48046103571583e-12,5.0722636200408124e-05,1.3913980840281013e-11,9.089135388119878e-12,5.532908839859882e-05,1.6644983704881605e-11,7.935330183689824e-12,5.8595094662821775e-05
S001,3,7,3,1.9698125284179842e-11,8.52904092744696e-12,3.411845231179587e-05,2.835102504407996e-11,8.292114910728784e-12,3.746901360487511e-05,3.009472982799238e-11,7.708903399857413e-12,3.778359231999988e-05,3.945384244177378e-11,7.40908966920577e-12,3.825179719116672e-05,3.5907105317945504e-11,5.807512599635545e-12,3.638722313495155e-05,2.5945577554310237e-11,5.102619292583752e-12,3.367510178854608e-05,1.516345241615977e-11,3.854050374976938e-12,2.8962687692355533e-05,2.2337061737282165e-11,1.2374446731060238e-11,4.2181160698049175e-05,2.8211478459729865e-11,1.1081003700281437e-11,3.9610593982871496e-05,2.809871332129784e-11,9.41242648421391e-12,4.0936299911212126e-05
